timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1702815838846,810,Load Testing,200,OK,Thread Group 1-3567,text,true,,1546,136,3,3,https://random-data-api.com/api/v2/users,810,0,536
1702815839207,799,Load Testing,200,OK,Thread Group 1-3568,text,true,,1568,136,3,3,https://random-data-api.com/api/v2/users,799,0,528
1702815839566,812,Load Testing,200,OK,Thread Group 1-3569,text,true,,1580,136,3,3,https://random-data-api.com/api/v2/users,812,0,537
1702815839926,824,Load Testing,200,OK,Thread Group 1-3570,text,true,,1509,136,3,3,https://random-data-api.com/api/v2/users,824,0,541
1702815840286,805,Load Testing,200,OK,Thread Group 1-3571,text,true,,1554,136,3,3,https://random-data-api.com/api/v2/users,805,0,535
1702815840646,801,Load Testing,200,OK,Thread Group 1-3572,text,true,,1569,136,3,3,https://random-data-api.com/api/v2/users,801,0,530
1702815841006,810,Load Testing,200,OK,Thread Group 1-3573,text,true,,1561,136,3,3,https://random-data-api.com/api/v2/users,810,0,532
1702815841365,800,Load Testing,200,OK,Thread Group 1-3574,text,true,,1580,136,3,3,https://random-data-api.com/api/v2/users,800,0,528
1702815841725,793,Load Testing,200,OK,Thread Group 1-3575,text,true,,1562,136,3,3,https://random-data-api.com/api/v2/users,793,0,525
1702815842086,800,Load Testing,200,OK,Thread Group 1-3576,text,true,,1555,136,3,3,https://random-data-api.com/api/v2/users,800,0,524
1702815842446,803,Load Testing,200,OK,Thread Group 1-3577,text,true,,1578,136,3,3,https://random-data-api.com/api/v2/users,803,0,530
1702815842806,793,Load Testing,200,OK,Thread Group 1-3578,text,true,,1538,136,3,3,https://random-data-api.com/api/v2/users,793,0,525
1702815843167,807,Load Testing,200,OK,Thread Group 1-3579,text,true,,1576,136,3,3,https://random-data-api.com/api/v2/users,807,0,531
1702815843527,838,Load Testing,200,OK,Thread Group 1-3580,text,true,,1576,136,3,3,https://random-data-api.com/api/v2/users,838,0,539
1702815843888,829,Load Testing,200,OK,Thread Group 1-3581,text,true,,1557,136,3,3,https://random-data-api.com/api/v2/users,829,0,548
1702815844245,803,Load Testing,200,OK,Thread Group 1-3582,text,true,,1548,136,3,3,https://random-data-api.com/api/v2/users,803,0,535
1702815844606,807,Load Testing,200,OK,Thread Group 1-3583,text,true,,1561,136,3,3,https://random-data-api.com/api/v2/users,807,0,536
1702815844967,809,Load Testing,200,OK,Thread Group 1-3584,text,true,,1528,136,3,3,https://random-data-api.com/api/v2/users,809,0,535
1702815845326,806,Load Testing,200,OK,Thread Group 1-3585,text,true,,1594,136,3,3,https://random-data-api.com/api/v2/users,806,0,534
1702815845686,799,Load Testing,200,OK,Thread Group 1-3586,text,true,,1561,136,3,3,https://random-data-api.com/api/v2/users,799,0,530
1702815846046,808,Load Testing,200,OK,Thread Group 1-3587,text,true,,1525,136,3,3,https://random-data-api.com/api/v2/users,808,0,535
1702815846406,806,Load Testing,200,OK,Thread Group 1-3588,text,true,,1562,136,3,3,https://random-data-api.com/api/v2/users,806,0,531
1702815846766,801,Load Testing,200,OK,Thread Group 1-3589,text,true,,1555,136,3,3,https://random-data-api.com/api/v2/users,801,0,531
1702815847125,803,Load Testing,200,OK,Thread Group 1-3590,text,true,,1576,136,3,3,https://random-data-api.com/api/v2/users,803,0,531
1702815847485,803,Load Testing,200,OK,Thread Group 1-3591,text,true,,1564,136,3,3,https://random-data-api.com/api/v2/users,803,0,530
1702815847845,796,Load Testing,200,OK,Thread Group 1-3592,text,true,,1536,136,3,3,https://random-data-api.com/api/v2/users,796,0,523
1702815848205,811,Load Testing,200,OK,Thread Group 1-3593,text,true,,1541,136,3,3,https://random-data-api.com/api/v2/users,811,0,538
1702815848565,807,Load Testing,200,OK,Thread Group 1-3594,text,true,,1563,136,3,3,https://random-data-api.com/api/v2/users,807,0,535
1702815848925,793,Load Testing,200,OK,Thread Group 1-3595,text,true,,1579,136,3,3,https://random-data-api.com/api/v2/users,793,0,525
1702815849286,802,Load Testing,200,OK,Thread Group 1-3596,text,true,,1546,136,3,3,https://random-data-api.com/api/v2/users,802,0,530
1702815849646,790,Load Testing,200,OK,Thread Group 1-3597,text,true,,1579,136,3,3,https://random-data-api.com/api/v2/users,790,0,523
1702815850006,806,Load Testing,200,OK,Thread Group 1-3598,text,true,,1540,136,3,3,https://random-data-api.com/api/v2/users,806,0,532
1702815850366,805,Load Testing,200,OK,Thread Group 1-3599,text,true,,1556,136,3,3,https://random-data-api.com/api/v2/users,805,0,533
1702815850726,802,Load Testing,200,OK,Thread Group 1-3600,text,true,,1572,136,3,3,https://random-data-api.com/api/v2/users,802,0,530
1702815851085,812,Load Testing,200,OK,Thread Group 1-3601,text,true,,1570,136,3,3,https://random-data-api.com/api/v2/users,812,0,534
1702815851447,808,Load Testing,200,OK,Thread Group 1-3602,text,true,,1561,136,3,3,https://random-data-api.com/api/v2/users,808,0,535
1702815851807,796,Load Testing,200,OK,Thread Group 1-3603,text,true,,1555,136,3,3,https://random-data-api.com/api/v2/users,796,0,528
1702815852166,811,Load Testing,200,OK,Thread Group 1-3604,text,true,,1575,136,3,3,https://random-data-api.com/api/v2/users,811,0,536
1702815852526,808,Load Testing,200,OK,Thread Group 1-3605,text,true,,1571,136,3,3,https://random-data-api.com/api/v2/users,808,0,537
1702815852886,789,Load Testing,200,OK,Thread Group 1-3606,text,true,,1563,136,3,3,https://random-data-api.com/api/v2/users,789,0,522
1702815853247,838,Load Testing,200,OK,Thread Group 1-3607,text,true,,1559,136,3,3,https://random-data-api.com/api/v2/users,838,0,535
1702815853607,798,Load Testing,200,OK,Thread Group 1-3608,text,true,,1532,136,3,3,https://random-data-api.com/api/v2/users,798,0,530
1702815853967,809,Load Testing,200,OK,Thread Group 1-3609,text,true,,1566,136,3,3,https://random-data-api.com/api/v2/users,809,0,537
1702815854326,803,Load Testing,200,OK,Thread Group 1-3610,text,true,,1571,136,3,3,https://random-data-api.com/api/v2/users,803,0,532
1702815854686,805,Load Testing,200,OK,Thread Group 1-3611,text,true,,1559,136,3,3,https://random-data-api.com/api/v2/users,805,0,532
